# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
0	15	1.38	0.92	1.46	1.51	ark--C_par--ark_brusselator1D_task_local_nls	2
1	1	4.52	3.79	1.18	1.21	ark--C_par--ark_diurnal_kry_bbd_p	2
2	1	2.45	2.02	1.19	1.22	ark--C_par--ark_diurnal_kry_p	2
3	2	2.37	1.36	1.74	1.75	ark--C_ser--ark_KrylovDemo_prec	1
4	1237	1.51	1.09	1.39	1.40	ark--C_ser--ark_analytic	1
5	1177	1.71	1.01	1.69	1.72	ark--C_ser--ark_analytic_mels	1
6	14104	1.93	1.09	1.77	1.78	ark--C_ser--ark_analytic_nonlin	1
7	1177	1.40	1.00	1.40	1.41	ark--C_ser--ark_brusselator	1
8	28	1.87	1.10	1.70	1.70	ark--C_ser--ark_brusselator1D	1
9	5	2.17	1.21	1.78	1.80	ark--C_ser--ark_brusselator1D_FEM_slu	1
10	1	1.15	1.00	1.14	1.16	ark--C_ser--ark_brusselator1D_imexmri	1
11	25	1.24	1.12	1.10	1.12	ark--C_ser--ark_brusselator1D_klu	1
12	3	1.54	1.36	1.13	1.13	ark--C_ser--ark_brusselator_1D_mri	1
13	315	1.53	1.07	1.43	1.44	ark--C_ser--ark_brusselator_fp	1
14	1409	1.77	0.99	1.78	1.80	ark--C_ser--ark_brusselator_mri	1
15	31	1.25	1.07	1.17	1.17	ark--C_ser--ark_heat1D	1
16	56	1.80	1.06	1.70	1.71	ark--C_ser--ark_heat1D_adapt	1
17	44	1.53	1.05	1.46	1.47	ark--C_ser--ark_kpr_mri	1
18	246	1.78	1.10	1.61	1.63	ark--C_ser--ark_onewaycouple_mri	1
19	1	5.81	5.05	1.15	1.15	ark--C_ser--ark_reaction_diffusion_mri	1
20	184	1.49	1.09	1.37	1.39	ark--C_ser--ark_robertson	1
21	479	1.55	1.04	1.49	1.49	ark--C_ser--ark_robertson_constraints	1
22	173	1.47	1.09	1.35	1.36	ark--C_ser--ark_robertson_root	1
23	35	1.75	1.10	1.59	1.60	ark--C_ser--ark_twowaycouple_mri	1
24	5	1.37	1.00	1.37	1.39	ark--many--ark_brusselator1D_manyvec	1
25	21	1.41	1.04	1.33	1.38	cv--mpimany--cvDiurnal_kry_mpimanyvec	1
26	68	1.13	1.02	1.09	1.12	cv--par--cvAdvDiff_diag_p	2
27	53	1.15	1.05	1.09	1.11	cv--par--cvAdvDiff_non_p	2
28	16	1.14	0.98	1.13	1.17	cv--par--cvDiurnal_kry_bbd_p	2
29	35	1.23	1.00	1.20	1.25	cv--par--cvDiurnal_kry_p	2
30	2559	1.38	1.09	1.27	1.28	cv--ser--cvAdvDiff_bnd	1
31	20001	1.96	1.08	1.81	1.83	cv--ser--cvAnalytic_mels	1
32	368	1.42	1.08	1.32	1.33	cv--ser--cvDirectDemo_ls	1
33	10215	2.21	1.00	2.20	2.25	cv--ser--cvDisc_dns	1
34	150	1.48	1.09	1.35	1.37	cv--ser--cvDiurnal_kry	1
35	150	1.80	1.09	1.64	1.65	cv--ser--cvDiurnal_kry_alt	3
36	53	1.51	1.04	1.45	1.46	cv--ser--cvDiurnal_kry_bp	1
37	33	1.38	1.02	1.35	1.37	cv--ser--cvKrylovDemo_ls	1
38	25	1.98	1.11	1.78	1.80	cv--ser--cvKrylovDemo_prec	1
39	409	1.33	1.05	1.27	1.28	cv--ser--cvParticle_dns	1
40	33	1.32	1.08	1.22	1.23	cv--ser--cvPendulum_dns	1
41	15	1.31	1.14	1.15	1.15	cv--ser--cvRoberts_block_klu	1
42	3438	1.57	1.09	1.44	1.46	cv--ser--cvRoberts_dns	1
43	4400	1.60	1.07	1.50	1.50	cv--ser--cvRoberts_dns_constraints	1
44	1210	1.35	1.07	1.26	1.26	cv--ser--cvRoberts_dns_negsol	1
45	3438	1.59	1.06	1.50	1.51	cv--ser--cvRoberts_dns_uw	1
46	3438	2.75	1.06	2.57	2.63	cv--ser--cvRoberts_dns_uw_alt	3
47	3056	1.54	1.06	1.43	1.50	cv--ser--cvRoberts_klu	1
48	91	1.26	1.19	1.03	1.08	cv--ser--cvRoberts_sps	1
49	12	1.10	0.95	1.13	1.20	cvs--par--cvsAdvDiff_ASAp_non_p	2
50	18	1.08	1.00	1.06	1.09	cvs--par--cvsAdvDiff_FSA_non_p	2
51	6	1.99	1.02	1.90	1.97	cvs--par--cvsAtmDisp_ASAi_kry_bbd_p	2
52	3	1.28	1.07	1.17	1.22	cvs--par--cvsDiurnal_FSA_kry_p	2
53	28	1.22	1.00	1.22	1.23	cvs--ser--cvsAdvDiff_ASAi_bnd	1
54	688	1.45	1.02	1.42	1.42	cvs--ser--cvsAdvDiff_FSA_non	1
55	4	1.33	1.01	1.33	1.33	cvs--ser--cvsDiurnal_FSA_kry	1
56	2	3.24	1.65	1.97	1.98	cvs--ser--cvsFoodWeb_ASAi_kry	1
57	1	2.78	1.50	1.85	1.86	cvs--ser--cvsFoodWeb_ASAp_kry	1
58	688	1.58	1.01	1.57	1.59	cvs--ser--cvsHessian_ASA_FSA	1
59	550	1.52	1.03	1.48	1.49	cvs--ser--cvsRoberts_ASAi_dns	1
60	1100	1.75	1.06	1.64	1.66	cvs--ser--cvsRoberts_ASAi_dns_constraints	1
61	479	1.52	1.04	1.45	1.47	cvs--ser--cvsRoberts_ASAi_klu	1
62	20	1.26	1.17	1.06	1.09	cvs--ser--cvsRoberts_ASAi_sps	1
63	734	1.52	1.01	1.49	1.51	cvs--ser--cvsRoberts_FSA_dns	1
64	104	1.29	1.01	1.28	1.29	cvs--ser--cvsRoberts_FSA_dns_Switch	1
65	787	1.64	1.08	1.51	1.53	cvs--ser--cvsRoberts_FSA_dns_constraints	1
66	612	1.52	1.02	1.48	1.50	cvs--ser--cvsRoberts_FSA_klu	1
67	67	1.72	1.60	1.04	1.09	cvs--ser--cvsRoberts_FSA_sps	1
68	21	1.36	1.02	1.29	1.36	ida--par--idaFoodWeb_kry_bbd_p	2
69	15	1.29	1.00	1.26	1.33	ida--par--idaFoodWeb_kry_p	2
70	145	1.23	1.03	1.17	1.21	ida--par--idaHeat2D_kry_bbd_p	2
71	324	1.22	1.03	1.17	1.22	ida--par--idaHeat2D_kry_p	2
72	5500	1.82	1.02	1.79	1.81	ida--ser--idaAnalytic_mels	1
73	13	1.86	1.05	1.77	1.79	ida--ser--idaFoodWeb_bnd	1
74	22	2.00	1.01	1.98	1.98	ida--ser--idaFoodWeb_kry	1
75	1693	1.42	1.08	1.30	1.32	ida--ser--idaHeat2D_bnd	1
76	479	1.20	1.02	1.17	1.18	ida--ser--idaHeat2D_klu	1
77	1887	1.49	0.99	1.50	1.52	ida--ser--idaHeat2D_kry	1
78	1110	1.58	1.00	1.57	1.59	ida--ser--idaKrylovDemo_ls	1
79	3668	1.67	1.02	1.62	1.64	ida--ser--idaRoberts_dns	1
80	3668	2.45	1.02	2.37	2.42	ida--ser--idaRoberts_dns_alt	3
81	3549	1.65	1.06	1.55	1.57	ida--ser--idaRoberts_klu	1
82	152	1.21	1.09	1.09	1.12	ida--ser--idaRoberts_sps	1
83	2392	1.84	1.08	1.70	1.71	ida--ser--idaSlCrank_dns	1
84	8	1.45	1.06	1.34	1.41	idas--par--idasBruss_ASAp_kry_bbd_p	2
85	3	1.67	1.16	1.40	1.48	idas--par--idasBruss_FSA_kry_bbd_p	2
86	16	1.23	0.91	1.32	1.39	idas--par--idasBruss_kry_bbd_p	2
87	95	1.27	1.00	1.23	1.29	idas--par--idasHeat2D_FSA_kry_bbd_p	2
88	787	1.56	1.02	1.53	1.54	idas--ser--idasAkzoNob_ASAi_dns	1
89	2158	1.62	1.08	1.50	1.51	idas--ser--idasAkzoNob_dns	1
90	62	1.43	1.04	1.38	1.39	idas--ser--idasHessian_ASA_FSA	1
91	315	1.53	1.06	1.44	1.45	idas--ser--idasRoberts_ASAi_dns	1
92	306	1.52	1.07	1.41	1.45	idas--ser--idasRoberts_ASAi_klu	1
93	17	1.23	1.13	1.07	1.10	idas--ser--idasRoberts_ASAi_sps	1
94	368	1.58	1.04	1.52	1.54	idas--ser--idasRoberts_FSA_dns	1
95	380	1.62	1.07	1.51	1.53	idas--ser--idasRoberts_FSA_klu	1
96	63	1.37	1.29	1.01	1.10	idas--ser--idasRoberts_FSA_sps	1
97	197	1.50	1.09	1.37	1.39	idas--ser--idasSlCrank_FSA_dns	1
98	18	1.38	1.07	1.23	1.32	kin--par--kinFoodWeb_kry_bbd_p	2
99	7	1.33	1.04	1.24	1.31	kin--par--kinFoodWeb_kry_p	2
100	28948	0.57	1.08	0.53	0.54	kin--ser--kinAnalytic_fp	1
101	25582	2.15	1.07	1.99	2.02	kin--ser--kinFerTron_dns	1
102	20001	2.17	1.08	1.99	2.03	kin--ser--kinFerTron_klu	1
103	175	1.66	1.09	1.52	1.53	kin--ser--kinFoodWeb_kry	1
104	175	2.19	1.09	2.01	2.01	kin--ser--kinFoodWeb_kry_custom	4
105	188	2.06	1.10	1.87	1.88	kin--ser--kinKrylovDemo_ls	1
106	848	1.91	1.02	1.87	1.89	kin--ser--kinLaplace_bnd	1
107	306	1.20	1.07	1.12	1.12	kin--ser--kinLaplace_picard_bnd	1
108	136	1.82	1.01	1.80	1.83	kin--ser--kinLaplace_picard_kry	1
109	186442	3.60	1.02	3.50	3.54	kin--ser--kinRoberts_fp	1
110	42309	2.57	1.05	2.45	2.45	kin--ser--kinRoboKin_dns	1
111	42309	3.05	1.05	2.89	2.93	kin--ser--kinRoboKin_dns_alt	3
112	1098	1.12	1.03	1.08	1.11	kin--ser--kinRoboKin_slu	1
