# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
0	16	2.56	1.48	1.46	2.22	ark--C_omp--ark_brusselator1D_omp	1
1	1	5.78	3.30	1.73	2.11	ark--C_par--ark_diurnal_kry_bbd_p	2
2	1	2.14	1.38	1.45	1.82	ark--C_par--ark_diurnal_kry_p	2
3	2	2.68	1.64	1.63	1.69	ark--C_ser--ark_KrylovDemo_prec	1
4	1221	1.43	1.10	1.28	1.36	ark--C_ser--ark_analytic	1
5	6472	1.39	0.97	1.40	1.49	ark--C_ser--ark_analytic_nonlin	1
6	1283	1.45	1.08	1.33	1.42	ark--C_ser--ark_brusselator	1
7	19	1.31	0.96	1.33	1.41	ark--C_ser--ark_brusselator1D	1
8	7	2.70	1.00	2.62	2.76	ark--C_ser--ark_brusselator1D_FEM_slu	1
9	22	1.16	1.02	1.12	1.18	ark--C_ser--ark_brusselator1D_klu	1
10	281	1.52	1.19	1.26	1.31	ark--C_ser--ark_brusselator_fp	1
11	33	1.33	1.01	1.29	1.36	ark--C_ser--ark_heat1D	1
12	30	1.37	1.01	1.34	1.40	ark--C_ser--ark_heat1D_adapt	1
13	208	1.35	1.03	1.30	1.37	ark--C_ser--ark_robertson	1
14	211	1.44	1.11	1.28	1.37	ark--C_ser--ark_robertson_root	1
15	1735	1.55	1.06	1.45	1.48	cv--par--cvAdvDiff_diag_p	2
16	69	1.12	1.08	0.96	1.06	cv--par--cvAdvDiff_non_p	2
17	35	1.50	0.97	1.52	2.19	cv--par--cvDiurnal_kry_bbd_p	2
18	81	1.85	1.12	1.59	1.68	cv--par--cvDiurnal_kry_p	2
19	1747	1.20	1.04	1.14	1.18	cv--ser--cvAdvDiff_bnd	1
20	290	1.33	1.10	1.19	1.24	cv--ser--cvDirectDemo_ls	1
21	122	1.36	1.08	1.27	1.35	cv--ser--cvDiurnal_kry	1
22	122	1.69	1.08	1.56	1.62	cv--ser--cvDiurnal_kry_alt	3
23	47	1.47	1.08	1.34	1.38	cv--ser--cvDiurnal_kry_bp	1
24	37	1.44	1.09	1.30	1.35	cv--ser--cvKrylovDemo_ls	1
25	21	1.91	1.18	1.60	1.67	cv--ser--cvKrylovDemo_prec	1
26	2589	1.42	1.08	1.29	1.36	cv--ser--cvRoberts_dns	1
27	2501	1.40	0.99	1.38	1.46	cv--ser--cvRoberts_dns_uw	1
28	2501	1.49	0.99	1.46	1.54	cv--ser--cvRoberts_dns_uw_alt	3
29	2162	1.30	0.98	1.30	1.36	cv--ser--cvRoberts_klu	1
30	380	1.22	1.09	1.11	1.13	cv--ser--cvRoberts_sps	1
31	32	1.37	1.08	1.25	1.29	cvs--par--cvsAdvDiff_ASAp_non_p	2
32	45	1.10	1.04	1.04	1.09	cvs--par--cvsAdvDiff_FSA_non_p	2
33	7	4.26	1.04	3.52	4.18	cvs--par--cvsAtmDisp_ASAi_kry_bbd_p	2
34	5	1.52	1.04	1.44	1.56	cvs--par--cvsDiurnal_FSA_kry_p	2
35	21	1.17	1.02	1.12	1.17	cvs--ser--cvsAdvDiff_ASAi_bnd	1
36	580	1.36	1.04	1.28	1.34	cvs--ser--cvsAdvDiff_FSA_non	1
37	4	1.57	1.24	1.24	1.31	cvs--ser--cvsDiurnal_FSA_kry	1
38	1	1.75	0.98	1.66	1.78	cvs--ser--cvsFoodWeb_ASAi_kry	1
39	1	2.99	1.84	1.62	1.66	cvs--ser--cvsFoodWeb_ASAp_kry	1
40	612	1.45	1.06	1.35	1.39	cvs--ser--cvsHessian_ASA_FSA	1
41	455	1.38	1.01	1.32	1.38	cvs--ser--cvsRoberts_ASAi_dns	1
42	432	1.52	1.15	1.32	1.39	cvs--ser--cvsRoberts_ASAi_klu	1
43	75	1.15	1.02	1.12	1.14	cvs--ser--cvsRoberts_ASAi_sps	1
44	715	1.52	1.07	1.37	1.44	cvs--ser--cvsRoberts_FSA_dns	1
45	599	1.50	1.14	1.30	1.35	cvs--ser--cvsRoberts_FSA_klu	1
46	176	1.20	1.01	1.18	1.20	cvs--ser--cvsRoberts_FSA_sps	1
47	28	1.83	1.14	1.55	1.78	ida--par--idaFoodWeb_kry_bbd_p	2
48	30	1.80	1.06	1.65	1.74	ida--par--idaFoodWeb_kry_p	2
49	303	1.85	1.03	1.39	1.86	ida--par--idaHeat2D_kry_bbd_p	2
50	744	1.44	1.08	1.29	1.39	ida--par--idaHeat2D_kry_p	2
51	8	1.85	1.06	1.71	1.79	ida--ser--idaFoodWeb_bnd	1
52	20	2.31	1.09	2.11	2.16	ida--ser--idaFoodWeb_kry	1
53	1148	1.16	1.05	1.11	1.19	ida--ser--idaHeat2D_bnd	1
54	323	1.00	0.94	1.00	1.09	ida--ser--idaHeat2D_klu	1
55	1596	1.42	1.05	1.32	1.38	ida--ser--idaHeat2D_kry	1
56	928	1.40	1.00	1.36	1.42	ida--ser--idaKrylovDemo_ls	1
57	2128	1.33	0.92	1.42	1.51	ida--ser--idaRoberts_dns	1
58	2128	1.37	0.92	1.45	1.54	ida--ser--idaRoberts_dns_alt	3
59	2750	1.48	1.02	1.44	1.50	ida--ser--idaRoberts_klu	1
60	667	1.28	1.09	1.17	1.19	ida--ser--idaRoberts_sps	1
61	1693	1.62	1.02	1.55	1.65	ida--ser--idaSlCrank_dns	1
62	1	0.30	2.88	0.10	0.11	idas--C_omp--idasFoodWeb_bnd_omp	1
63	6	0.59	1.13	0.50	0.54	idas--C_omp--idasFoodWeb_kry_omp	1
64	9	1.56	1.08	1.42	2.03	idas--par--idasBruss_ASAp_kry_bbd_p	2
65	3	2.02	1.81	1.09	1.32	idas--par--idasBruss_FSA_kry_bbd_p	2
