# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
0	14	1.49	0.99	1.47	1.54	ark--C_par--ark_brusselator1D_task_local_nls	2
1	1	5.11	4.06	1.24	1.28	ark--C_par--ark_diurnal_kry_bbd_p	2
2	1	2.70	2.13	1.24	1.29	ark--C_par--ark_diurnal_kry_p	2
3	2	2.75	1.45	1.89	1.97	ark--C_ser--ark_KrylovDemo_prec	1
4	1179	1.57	1.12	1.39	1.42	ark--C_ser--ark_analytic	1
5	1207	1.88	1.10	1.70	1.74	ark--C_ser--ark_analytic_mels	1
6	7858	1.40	0.98	1.41	1.46	ark--C_ser--ark_analytic_nonlin	1
7	1210	1.49	1.08	1.37	1.40	ark--C_ser--ark_brusselator	1
8	24	1.71	1.01	1.66	1.71	ark--C_ser--ark_brusselator1D	1
9	4	1.88	1.10	1.68	1.75	ark--C_ser--ark_brusselator1D_FEM_slu	1
10	1	1.22	1.06	1.13	1.16	ark--C_ser--ark_brusselator1D_imexmri	1
11	25	1.30	1.10	1.17	1.20	ark--C_ser--ark_brusselator1D_klu	1
12	3	1.65	1.45	1.13	1.16	ark--C_ser--ark_brusselator_1D_mri	1
13	299	1.55	1.09	1.42	1.45	ark--C_ser--ark_brusselator_fp	1
14	1316	1.71	0.99	1.72	1.75	ark--C_ser--ark_brusselator_mri	1
15	27	1.25	1.00	1.25	1.28	ark--C_ser--ark_heat1D	1
16	53	1.83	1.06	1.71	1.76	ark--C_ser--ark_heat1D_adapt	1
17	43	1.61	1.09	1.46	1.50	ark--C_ser--ark_kpr_mri	1
18	230	1.75	1.09	1.60	1.63	ark--C_ser--ark_onewaycouple_mri	1
19	1	6.26	5.32	1.17	1.18	ark--C_ser--ark_reaction_diffusion_mri	1
20	154	1.32	0.97	1.35	1.38	ark--C_ser--ark_robertson	1
21	459	1.55	1.04	1.47	1.50	ark--C_ser--ark_robertson_constraints	1
22	154	1.38	1.01	1.34	1.37	ark--C_ser--ark_robertson_root	1
23	32	1.69	1.06	1.58	1.60	ark--C_ser--ark_twowaycouple_mri	1
24	5	1.56	1.15	1.35	1.39	ark--many--ark_brusselator1D_manyvec	1
25	15	1.27	0.96	1.32	1.38	cv--mpimany--cvDiurnal_kry_mpimanyvec	1
26	61	1.11	1.00	1.10	1.13	cv--par--cvAdvDiff_diag_p	2
27	49	1.15	1.04	1.09	1.12	cv--par--cvAdvDiff_non_p	2
28	16	1.19	1.03	1.13	1.17	cv--par--cvDiurnal_kry_bbd_p	2
29	33	1.23	1.02	1.20	1.23	cv--par--cvDiurnal_kry_p	2
30	2223	1.29	1.04	1.20	1.26	cv--ser--cvAdvDiff_bnd	1
31	18182	1.87	1.02	1.83	1.85	cv--ser--cvAnalytic_mels	1
32	356	1.46	1.07	1.36	1.38	cv--ser--cvDirectDemo_ls	1
33	10661	2.39	1.08	2.20	2.24	cv--ser--cvDisc_dns	1
34	132	1.39	1.00	1.38	1.40	cv--ser--cvDiurnal_kry	1
35	132	1.70	1.00	1.68	1.73	cv--ser--cvDiurnal_kry_alt	3
36	50	1.50	1.03	1.45	1.46	cv--ser--cvDiurnal_kry_bp	1
37	35	1.55	1.13	1.36	1.38	cv--ser--cvKrylovDemo_ls	1
38	24	2.00	1.12	1.78	1.81	cv--ser--cvKrylovDemo_prec	1
39	409	1.38	1.07	1.28	1.31	cv--ser--cvParticle_dns	1
40	32	1.34	1.08	1.24	1.26	cv--ser--cvPendulum_dns	1
41	13	1.21	1.03	1.17	1.19	cv--ser--cvRoberts_block_klu	1
42	2341	1.20	1.08	1.08	1.13	cv--ser--cvRoberts_dns	1
43	4167	1.61	1.05	1.52	1.55	cv--ser--cvRoberts_dns_constraints	1
44	1100	1.29	1.00	1.28	1.30	cv--ser--cvRoberts_dns_negsol	1
45	3237	1.59	1.03	1.54	1.57	cv--ser--cvRoberts_dns_uw	1
46	3237	2.66	1.03	2.55	2.62	cv--ser--cvRoberts_dns_uw_alt	3
47	2974	1.60	1.09	1.46	1.54	cv--ser--cvRoberts_klu	1
48	80	1.18	1.17	0.98	1.04	cv--ser--cvRoberts_sps	1
49	5556	1.92	1.04	1.83	1.87	cv--ser--cvRocket_dns	1
50	9	1.04	0.90	1.14	1.19	cvs--par--cvsAdvDiff_ASAp_non_p	2
51	17	1.12	1.03	1.08	1.11	cvs--par--cvsAdvDiff_FSA_non_p	2
52	6	2.18	1.11	1.95	2.00	cvs--par--cvsAtmDisp_ASAi_kry_bbd_p	2
53	3	1.38	1.13	1.21	1.24	cvs--par--cvsDiurnal_FSA_kry_p	2
54	28	1.38	1.09	1.24	1.30	cvs--ser--cvsAdvDiff_ASAi_bnd	1
55	612	1.38	0.98	1.39	1.42	cvs--ser--cvsAdvDiff_FSA_non	1
56	4	1.52	1.15	1.28	1.34	cvs--ser--cvsDiurnal_FSA_kry	1
57	2	3.58	1.79	1.98	2.02	cvs--ser--cvsFoodWeb_ASAi_kry	1
58	1	3.03	1.63	1.85	1.88	cvs--ser--cvsFoodWeb_ASAp_kry	1
59	667	1.67	1.07	1.55	1.61	cvs--ser--cvsHessian_ASA_FSA	1
60	345	1.28	0.98	1.29	1.34	cvs--ser--cvsParticle_dns	1
61	28	1.31	1.03	1.24	1.29	cvs--ser--cvsPendulum_dns	1
62	479	1.53	1.05	1.44	1.49	cvs--ser--cvsRoberts_ASAi_dns	1
63	1042	1.81	1.08	1.66	1.70	cvs--ser--cvsRoberts_ASAi_dns_constraints	1
64	459	1.59	1.06	1.49	1.52	cvs--ser--cvsRoberts_ASAi_klu	1
65	17	1.20	1.12	1.04	1.09	cvs--ser--cvsRoberts_ASAi_sps	1
66	667	1.54	1.02	1.49	1.52	cvs--ser--cvsRoberts_FSA_dns	1
67	97	1.34	1.02	1.29	1.33	cvs--ser--cvsRoberts_FSA_dns_Switch	1
68	662	1.50	0.98	1.52	1.56	cvs--ser--cvsRoberts_FSA_dns_constraints	1
69	589	1.54	1.01	1.50	1.54	cvs--ser--cvsRoberts_FSA_klu	1
70	50	1.21	1.14	1.02	1.13	cvs--ser--cvsRoberts_FSA_sps	1
71	16	1.27	0.95	1.31	1.35	ida--par--idaFoodWeb_kry_bbd_p	2
72	14	1.34	0.99	1.33	1.37	ida--par--idaFoodWeb_kry_p	2
73	136	1.23	1.03	1.17	1.20	ida--par--idaHeat2D_kry_bbd_p	2
74	257	1.12	0.97	1.14	1.17	ida--par--idaHeat2D_kry_p	2
75	5239	1.86	1.02	1.81	1.85	ida--ser--idaAnalytic_mels	1
76	12	1.83	1.04	1.75	1.78	ida--ser--idaFoodWeb_bnd	1
77	21	2.12	1.06	1.96	2.02	ida--ser--idaFoodWeb_kry	1
78	1409	1.34	0.95	1.39	1.43	ida--ser--idaHeat2D_bnd	1
79	455	1.24	1.04	1.18	1.20	ida--ser--idaHeat2D_klu	1
80	1805	1.67	1.09	1.51	1.55	ida--ser--idaHeat2D_kry	1
