# ID	reps	OCaml med.	C med.	OCaml/C lower	OCaml/C upper	name	category
# P = 0.005000
0	18	1.73	1.03	1.65	1.72	ark--C_par--ark_brusselator1D_task_local_nls	2
1	1	4.70	3.83	1.22	1.25	ark--C_par--ark_diurnal_kry_bbd_p	2
2	1	2.54	2.04	1.23	1.26	ark--C_par--ark_diurnal_kry_p	2
3	2	2.82	1.36	2.07	2.10	ark--C_ser--ark_KrylovDemo_prec	1
4	1137	1.41	1.00	1.40	1.42	ark--C_ser--ark_analytic	1
5	1150	1.69	0.99	1.70	1.72	ark--C_ser--ark_analytic_mels	1
6	13751	1.90	1.10	1.73	1.75	ark--C_ser--ark_analytic_nonlin	1
7	1163	1.39	1.01	1.37	1.39	ark--C_ser--ark_brusselator	1
8	28	1.93	1.12	1.71	1.72	ark--C_ser--ark_brusselator1D	1
9	4	1.76	1.00	1.74	1.76	ark--C_ser--ark_brusselator1D_FEM_slu	1
10	24	1.24	1.13	1.10	1.11	ark--C_ser--ark_brusselator1D_klu	1
11	3	1.62	1.40	1.15	1.16	ark--C_ser--ark_brusselator_1D_mri	1
12	306	1.50	1.04	1.43	1.44	ark--C_ser--ark_brusselator_fp	1
13	1352	1.72	0.99	1.74	1.74	ark--C_ser--ark_brusselator_mri	1
14	32	1.48	1.10	1.34	1.35	ark--C_ser--ark_heat1D	1
15	56	1.92	1.06	1.80	1.82	ark--C_ser--ark_heat1D_adapt	1
16	44	1.56	1.07	1.44	1.46	ark--C_ser--ark_kpr_mri	1
17	235	1.74	1.10	1.57	1.59	ark--C_ser--ark_onewaycouple_mri	1
18	1	6.22	5.16	1.20	1.21	ark--C_ser--ark_reaction_diffusion_mri	1
19	164	1.34	1.00	1.33	1.34	ark--C_ser--ark_robertson	1
20	459	1.51	1.03	1.47	1.49	ark--C_ser--ark_robertson_constraints	1
21	168	1.42	1.09	1.30	1.31	ark--C_ser--ark_robertson_root	1
22	33	1.68	1.08	1.56	1.57	ark--C_ser--ark_twowaycouple_mri	1
23	5	1.42	1.00	1.41	1.42	ark--many--ark_brusselator1D_manyvec	1
24	19	1.42	1.01	1.36	1.42	cv--mpimany--cvDiurnal_kry_mpimanyvec	1
25	69	1.15	1.04	1.09	1.11	cv--par--cvAdvDiff_diag_p	2
26	48	1.12	1.02	1.09	1.11	cv--par--cvAdvDiff_non_p	2
27	17	1.23	1.05	1.15	1.19	cv--par--cvDiurnal_kry_bbd_p	2
28	35	1.25	1.03	1.20	1.23	cv--par--cvDiurnal_kry_p	2
29	2446	1.36	1.08	1.24	1.26	cv--ser--cvAdvDiff_bnd	1
30	20371	1.98	1.09	1.81	1.83	cv--ser--cvAnalytic_mels	1
31	334	1.34	0.98	1.36	1.38	cv--ser--cvDirectDemo_ls	1
32	10215	2.23	1.00	2.21	2.24	cv--ser--cvDisc_dns	1
33	137	1.52	1.01	1.51	1.52	cv--ser--cvDiurnal_kry	1
34	137	1.80	1.01	1.78	1.80	cv--ser--cvDiurnal_kry_alt	3
35	53	1.58	1.06	1.48	1.50	cv--ser--cvDiurnal_kry_bp	1
